date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:24	150912/150912	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:46:22%20GMT	https://rubikcare.com/	C:/My%20Web%20Sites/Rubickare/rubikcare.com/index.html	(from )
15:46:24	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Sep%202022%2013:46:21%20GMT	https://rubikcare.com/robots.txt		(from )
15:46:24	226708/226708	---MCZ	200	added ('OK')	text/css	etag:W/%221d8ad8c0fd09594%22	https://rubikcare.com/frontassets/css/bootstrap.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/css/bootstrap.min.css	(from https://rubikcare.com/)
15:46:24	433/433	---MCZ	200	added ('OK')	text/css	etag:W/%221d8ad8bdc9150b1%22	https://rubikcare.com/assets/plugins/morris/morris.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/assets/plugins/morris/morris.css	(from https://rubikcare.com/)
15:46:24	9562/9562	---MCZ	200	added ('OK')	text/css	etag:W/%221d825398a3c6cda%22	https://rubikcare.com/frontassets/global/plugins/simple-line-icons/simple-line-icons.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/plugins/simple-line-icons/simple-line-icons.min.css	(from https://rubikcare.com/)
15:46:25	10049/10049	---MCZ	200	added ('OK')	text/css	etag:W/%221d825397395d5c1%22	https://rubikcare.com/frontassets/global/plugins/datatables/datatables.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/plugins/datatables/datatables.min.css	(from https://rubikcare.com/)
15:46:25	5610/5610	---MCZ	200	added ('OK')	text/css	etag:W/%221d825395f51e06a%22	https://rubikcare.com/frontassets/global/plugins/bootstrap-daterangepicker/daterangepicker.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/plugins/bootstrap-daterangepicker/daterangepicker.min.css	(from https://rubikcare.com/)
15:46:25	26199/26199	---MCZ	200	added ('OK')	text/css	etag:W/%221d825395e20aed7%22	https://rubikcare.com/frontassets/global/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.min.css	(from https://rubikcare.com/)
15:46:25	3024/3024	---MCZ	200	added ('OK')	text/css	etag:W/%221d8253966790850%22	https://rubikcare.com/frontassets/global/plugins/bootstrap-timepicker/css/bootstrap-timepicker.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/plugins/bootstrap-timepicker/css/bootstrap-timepicker.min.css	(from https://rubikcare.com/)
15:46:25	11276/11276	---MCZ	200	added ('OK')	text/css	etag:W/%221d825395f51d98c%22	https://rubikcare.com/frontassets/global/plugins/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/plugins/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	(from https://rubikcare.com/)
15:46:26	4459/4459	---MCZ	200	added ('OK')	text/css	etag:W/%221d825396c6ef265%22	https://rubikcare.com/frontassets/global/plugins/clockface/css/clockface.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/plugins/clockface/css/clockface.css	(from https://rubikcare.com/)
15:46:26	616441/616441	---MCZ	200	added ('OK')	text/css	etag:W/%221d8ad8c10651179%22	https://rubikcare.com/frontassets/global/css/components-rtl.min.css	C:/My%20Web%20Sites/Rubickare/rubikcare.com/frontassets/global/css/components-rtl.min.css	(from https://rubikcare.com/)
